Position,G,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,XI,ROE,GDP,SB,CS,AVG,OBP,SLG,yearID,teamID,OPS
2B,176,579,65,147,27,2,19,70,27,1,150,9,4,5,0,5,15,2,1,0.254,0.295,0.406,2015,BAL,0.7010000000000001
3B,172,630,100,178,31,1,35,86,73,2,116,4,2,4,0,6,19,20,8,0.283,0.359,0.502,2015,BAL,0.861
SS,176,588,65,131,20,1,12,52,29,0,127,1,3,8,0,9,15,2,0,0.223,0.257,0.321,2015,BAL,0.5780000000000001
LF,207,575,71,121,20,4,18,53,50,0,147,12,2,1,0,9,11,5,4,0.21,0.287,0.353,2015,BAL,0.6399999999999999
CF,182,651,87,167,28,3,30,90,30,3,131,8,3,3,0,7,21,3,2,0.257,0.296,0.447,2015,BAL,0.743
RF,200,628,84,173,31,3,24,82,38,7,127,3,1,3,0,5,8,6,4,0.275,0.318,0.449,2015,BAL,0.767
DH,163,585,67,148,25,3,14,63,43,5,171,5,0,0,0,9,10,4,4,0.253,0.31,0.378,2015,BAL,0.688
C,179,577,59,132,20,1,18,67,40,1,121,5,4,3,0,7,17,1,0,0.229,0.283,0.36,2016,BAL,0.643
1B,177,589,101,131,22,0,37,82,90,3,221,9,0,3,0,5,5,2,0,0.222,0.333,0.448,2016,BAL,0.781
2B,164,616,83,165,38,1,26,83,21,0,137,8,0,3,0,4,16,1,2,0.268,0.299,0.459,2016,BAL,0.758
3B,175,629,91,178,34,1,29,85,45,4,121,3,0,5,0,9,13,0,2,0.283,0.331,0.479,2016,BAL,0.81
SS,179,602,73,160,45,0,20,76,46,6,115,1,2,7,0,8,17,0,1,0.266,0.316,0.44,2016,BAL,0.756
LF,217,598,62,150,30,1,12,45,57,1,134,8,4,3,0,10,10,4,5,0.251,0.323,0.365,2016,BAL,0.688
CF,180,668,92,177,20,0,30,86,44,2,122,5,2,9,0,3,14,2,1,0.265,0.311,0.43,2016,BAL,0.741
RF,220,598,87,159,26,2,37,89,64,1,154,3,2,1,0,6,12,6,0,0.266,0.339,0.502,2016,BAL,0.841
DH,160,558,82,140,27,0,42,89,52,1,164,2,0,2,0,3,14,1,0,0.251,0.316,0.525,2016,BAL,0.841
C,182,590,78,162,25,1,31,82,32,0,168,2,1,2,0,7,15,0,0,0.275,0.313,0.478,2017,BAL,0.7909999999999999
1B,174,606,89,149,25,2,35,83,66,4,235,4,0,4,0,1,11,1,1,0.246,0.322,0.467,2017,BAL,0.789
2B,180,632,92,180,35,0,31,103,37,0,144,11,0,7,0,7,19,1,0,0.285,0.332,0.487,2017,BAL,0.819
3B,179,656,84,169,36,1,34,98,51,3,123,1,0,9,0,8,17,9,4,0.258,0.308,0.471,2017,BAL,0.7789999999999999
SS,180,611,77,154,31,3,15,62,32,0,124,6,3,0,0,6,17,1,2,0.252,0.296,0.386,2017,BAL,0.6819999999999999
LF,220,595,59,152,31,3,14,63,46,1,143,8,2,8,1,9,9,5,0,0.255,0.314,0.388,2017,BAL,0.702
CF,185,667,89,186,29,2,27,80,30,1,135,8,1,3,0,12,19,3,2,0.279,0.316,0.45,2017,BAL,0.766
RF,222,610,83,167,34,0,21,62,42,1,137,6,3,2,0,7,14,9,2,0.274,0.326,0.433,2017,BAL,0.759
DH,156,580,77,132,20,0,23,74,48,1,158,4,0,1,0,9,17,1,0,0.228,0.291,0.381,2017,BAL,0.6719999999999999
C,184,540,57,116,25,2,9,42,28,0,163,12,4,1,0,5,11,3,1,0.215,0.269,0.319,2018,BAL,0.5880000000000001
1B,176,615,59,115,18,2,23,63,53,3,218,5,0,3,0,5,13,3,0,0.187,0.256,0.335,2018,BAL,0.591
2B,176,629,72,145,24,2,22,71,38,1,158,8,3,5,0,5,12,20,3,0.231,0.281,0.38,2018,BAL,0.661
3B,187,583,62,147,32,1,17,58,52,1,145,4,0,5,0,5,16,4,1,0.252,0.315,0.398,2018,BAL,0.7130000000000001
SS,173,626,85,177,32,1,35,92,69,12,122,3,1,4,0,5,20,15,3,0.283,0.355,0.505,2018,BAL,0.86
LF,216,606,71,148,25,1,19,55,52,0,150,7,0,5,0,7,10,9,5,0.244,0.309,0.383,2018,BAL,0.692
CF,178,653,74,179,41,1,16,59,38,0,112,6,3,2,0,7,17,8,3,0.274,0.319,0.413,2018,BAL,0.732
RF,201,593,47,145,28,2,19,69,40,1,143,2,1,3,0,5,16,11,3,0.245,0.293,0.395,2018,BAL,0.688
DH,167,557,72,125,16,2,26,70,43,0,156,7,0,6,0,6,16,1,0,0.224,0.285,0.4,2018,BAL,0.685
C,184,568,67,129,21,0,22,66,54,0,150,12,2,2,0,8,13,3,1,0.227,0.307,0.38,2019,BAL,0.687
1B,191,596,73,135,24,0,27,76,65,4,197,8,0,6,0,5,21,0,0,0.227,0.308,0.403,2019,BAL,0.7110000000000001
2B,219,624,89,162,24,3,23,77,48,0,122,5,4,7,1,11,12,25,6,0.26,0.314,0.418,2019,BAL,0.732
3B,199,625,73,176,27,3,19,81,48,1,113,2,2,3,0,12,15,2,6,0.282,0.333,0.426,2019,BAL,0.759
SS,214,600,82,145,25,6,15,51,38,0,173,10,5,1,0,5,8,30,4,0.242,0.297,0.378,2019,BAL,0.675
LF,203,637,79,156,30,5,20,82,50,0,139,5,2,6,0,10,10,6,2,0.245,0.302,0.402,2019,BAL,0.704
CF,199,586,66,131,30,4,19,62,39,1,175,9,4,3,0,3,11,9,3,0.224,0.281,0.386,2019,BAL,0.667
RF,200,642,97,165,35,3,36,97,60,2,163,7,0,3,0,11,12,6,6,0.257,0.326,0.489,2019,BAL,0.815
DH,165,586,87,155,33,0,30,98,48,0,157,11,0,5,0,6,8,2,2,0.265,0.329,0.474,2019,BAL,0.8029999999999999
C,176,555,49,124,24,0,15,61,49,1,150,3,1,5,0,5,13,1,0,0.223,0.288,0.348,2021,BAL,0.6359999999999999
1B,172,628,86,150,27,1,31,89,52,4,163,7,0,5,0,4,18,2,2,0.239,0.302,0.433,2021,BAL,0.735
2B,207,563,41,108,21,0,10,40,31,0,194,9,2,1,0,3,6,10,4,0.192,0.245,0.282,2021,BAL,0.5269999999999999
3B,181,587,53,130,30,2,15,67,44,0,132,6,0,3,0,7,17,0,0,0.221,0.281,0.356,2021,BAL,0.637
SS,191,570,74,150,26,1,16,65,47,1,131,7,3,4,1,3,10,3,4,0.263,0.325,0.396,2021,BAL,0.7210000000000001
LF,213,597,90,133,27,1,28,82,57,1,171,10,4,0,0,7,10,4,2,0.223,0.301,0.412,2021,BAL,0.713
CF,177,640,91,185,39,5,29,61,62,1,144,9,1,4,1,7,2,30,6,0.289,0.358,0.502,2021,BAL,0.86
RF,188,611,84,155,34,2,24,80,46,0,147,8,2,5,0,4,12,3,1,0.254,0.312,0.434,2021,BAL,0.746
DH,158,575,72,142,34,1,26,72,53,3,188,4,0,3,0,9,16,1,3,0.247,0.313,0.445,2021,BAL,0.758
C,180,554,73,116,36,1,16,56,76,0,151,7,2,4,0,9,9,3,0,0.209,0.31,0.365,2022,BAL,0.675
1B,167,626,73,165,34,1,24,94,46,1,163,7,0,8,1,6,14,4,0,0.264,0.317,0.436,2022,BAL,0.753
2B,190,561,65,116,27,3,15,63,49,1,136,12,0,5,0,4,13,9,0,0.207,0.282,0.346,2022,BAL,0.6279999999999999
3B,189,560,67,128,20,2,19,69,54,2,159,8,4,7,1,10,10,2,1,0.229,0.302,0.373,2022,BAL,0.675
SS,175,564,67,124,27,9,14,59,32,0,168,5,3,2,2,9,8,35,10,0.22,0.267,0.374,2022,BAL,0.641
LF,197,601,77,156,38,1,23,70,50,0,152,9,1,5,0,9,8,2,3,0.26,0.323,0.441,2022,BAL,0.764
CF,177,661,91,172,37,5,17,67,50,1,144,8,1,3,2,8,6,33,10,0.26,0.319,0.408,2022,BAL,0.727
RF,200,620,69,144,29,1,23,76,43,1,132,14,1,2,0,6,17,1,4,0.232,0.296,0.394,2022,BAL,0.69
DH,181,602,70,144,25,2,19,72,66,2,151,12,0,5,0,11,10,3,2,0.239,0.324,0.382,2022,BAL,0.706
C,176,601,81,154,38,1,15,73,75,4,130,7,3,6,0,7,14,3,3,0.256,0.343,0.398,2023,BAL,0.7410000000000001
1B,192,627,90,167,30,2,28,102,39,2,159,5,1,8,0,7,13,8,2,0.266,0.311,0.455,2023,BAL,0.766
2B,210,570,76,144,31,3,15,77,41,0,111,4,3,4,1,7,7,9,5,0.253,0.305,0.396,2023,BAL,0.7010000000000001
3B,212,571,79,140,30,8,13,63,59,1,163,10,0,4,0,8,12,8,3,0.245,0.325,0.394,2023,BAL,0.7190000000000001
SS,196,592,98,142,30,5,20,79,42,0,153,2,5,5,1,8,14,34,6,0.24,0.29,0.409,2023,BAL,0.699
LF,193,610,91,170,39,2,17,76,50,1,160,6,1,4,0,5,14,8,1,0.279,0.337,0.433,2023,BAL,0.77
CF,193,586,75,134,29,5,21,100,65,2,156,3,6,6,0,2,12,24,2,0.229,0.306,0.403,2023,BAL,0.7090000000000001
RF,241,604,95,151,42,1,20,85,67,1,151,4,0,5,0,5,14,8,1,0.25,0.326,0.422,2023,BAL,0.748
DH,182,615,87,169,31,1,33,106,62,2,144,2,0,4,1,2,11,4,0,0.275,0.341,0.489,2023,BAL,0.8300000000000001
C,168,613,72,142,24,0,19,82,53,0,129,4,0,11,0,8,10,2,0,0.232,0.292,0.364,2024,BAL,0.6559999999999999
1B,184,634,74,165,41,2,19,85,39,0,149,3,0,5,0,12,15,3,0,0.26,0.304,0.421,2024,BAL,0.725
2B,189,583,78,125,26,5,19,65,27,0,169,5,3,4,0,5,5,17,4,0.214,0.254,0.374,2024,BAL,0.628
3B,198,571,81,145,27,7,23,80,49,0,134,12,0,4,0,5,6,6,2,0.254,0.324,0.447,2024,BAL,0.771
SS,170,646,122,184,32,7,39,97,79,1,161,7,0,4,0,4,3,21,4,0.285,0.367,0.537,2024,BAL,0.904
LF,209,594,75,142,29,2,21,70,50,1,183,12,1,5,0,6,10,8,7,0.239,0.309,0.401,2024,BAL,0.71
CF,193,574,90,131,21,4,26,69,57,2,142,6,2,2,5,10,1,32,6,0.228,0.304,0.415,2024,BAL,0.719
RF,205,623,102,158,30,2,44,110,55,2,132,8,0,6,0,3,13,2,1,0.254,0.319,0.52,2024,BAL,0.839
DH,190,601,72,155,23,3,24,83,70,8,121,5,0,3,0,5,7,2,0,0.258,0.339,0.426,2024,BAL,0.765
C,195,630,80,172,39,0,27,95,55,7,100,1,1,5,0,8,17,1,0,0.273,0.33,0.463,2010,BOS,0.793
1B,190,603,107,168,36,6,24,84,84,3,108,10,0,9,0,10,11,4,1,0.279,0.371,0.478,2010,BOS,0.849
2B,186,642,98,167,42,2,22,77,68,1,120,5,2,7,0,7,11,13,2,0.26,0.332,0.435,2010,BOS,0.767
3B,172,641,92,206,52,2,31,108,42,11,89,5,0,7,0,4,27,3,1,0.321,0.364,0.554,2010,BOS,0.918
SS,178,675,95,184,40,0,16,70,61,1,88,4,4,5,0,7,13,4,5,0.273,0.334,0.403,2010,BOS,0.7370000000000001
LF,234,566,69,130,34,3,18,77,51,1,158,9,7,2,0,8,9,6,2,0.23,0.303,0.396,2010,BOS,0.6990000000000001
CF,204,586,76,137,34,5,14,62,51,1,148,6,4,1,1,12,11,23,3,0.234,0.301,0.381,2010,BOS,0.6819999999999999
RF,202,609,88,164,33,3,25,84,68,1,139,4,5,4,0,4,13,8,2,0.269,0.345,0.456,2010,BOS,0.8009999999999999
DH,164,575,87,151,40,1,32,107,86,15,150,2,0,4,0,0,18,0,1,0.263,0.358,0.503,2010,BOS,0.861
C,177,590,85,135,33,4,29,96,45,1,189,7,3,1,0,4,11,1,0,0.229,0.291,0.446,2011,BOS,0.737
1B,182,654,109,215,49,3,28,118,78,20,128,6,0,5,0,4,28,1,0,0.329,0.402,0.541,2011,BOS,0.9430000000000001
2B,177,656,105,202,40,3,21,93,89,6,90,1,2,7,0,5,13,26,8,0.308,0.388,0.474,2011,BOS,0.862
3B,187,612,99,165,42,4,20,102,80,3,131,13,2,7,0,11,18,4,1,0.27,0.362,0.449,2011,BOS,0.8109999999999999
SS,181,608,83,170,38,3,10,76,47,3,80,3,8,8,0,6,14,5,3,0.28,0.33,0.401,2011,BOS,0.7310000000000001
LF,190,628,85,162,33,10,16,75,41,1,125,3,2,6,1,14,9,18,7,0.258,0.304,0.419,2011,BOS,0.723
CF,172,692,123,219,48,5,34,112,54,1,106,9,4,6,3,11,8,40,14,0.316,0.371,0.548,2011,BOS,0.919
RF,203,584,68,136,24,2,14,58,54,5,128,4,0,7,0,6,9,1,3,0.233,0.299,0.353,2011,BOS,0.6519999999999999
DH,173,583,91,181,42,1,29,101,83,12,99,3,0,2,0,7,24,3,1,0.31,0.398,0.535,2011,BOS,0.933
C,179,581,71,125,34,3,28,75,48,1,201,6,2,6,0,5,9,1,0,0.215,0.279,0.429,2012,BOS,0.708
1B,189,641,82,185,41,1,22,96,44,5,104,6,0,7,0,6,18,0,0,0.289,0.337,0.459,2012,BOS,0.796
2B,178,647,86,182,43,3,16,69,53,3,80,5,3,7,0,8,12,24,6,0.281,0.337,0.431,2012,BOS,0.768
3B,188,610,75,157,31,1,18,82,36,2,154,6,3,5,0,6,14,14,2,0.257,0.303,0.4,2012,BOS,0.7030000000000001
SS,171,609,67,147,33,0,14,68,28,0,101,5,5,6,0,8,8,18,5,0.241,0.278,0.365,2012,BOS,0.643
LF,190,603,87,161,41,2,14,72,53,1,129,9,9,6,0,7,9,13,2,0.267,0.332,0.411,2012,BOS,0.743
CF,194,632,78,167,31,1,8,55,32,0,117,2,7,6,0,8,11,18,8,0.264,0.299,0.354,2012,BOS,0.653
RF,205,605,85,158,45,2,18,85,51,3,149,4,0,7,0,9,10,4,3,0.261,0.319,0.431,2012,BOS,0.75
DH,171,561,85,157,36,3,23,72,74,12,121,1,1,4,0,4,11,3,5,0.28,0.363,0.478,2012,BOS,0.841
C,177,589,86,159,51,0,19,89,55,3,192,3,2,3,0,2,13,5,1,0.27,0.334,0.453,2013,BOS,0.787
1B,193,604,98,158,48,3,26,106,88,4,220,8,1,4,0,0,13,2,1,0.262,0.361,0.48,2013,BOS,0.841
2B,180,655,93,198,42,2,9,84,74,4,77,3,0,7,0,12,24,17,5,0.302,0.372,0.414,2013,BOS,0.786
3B,185,595,70,144,29,1,20,79,37,3,141,5,4,8,0,8,14,9,2,0.242,0.288,0.395,2013,BOS,0.683
SS,169,585,71,154,36,10,14,81,66,3,145,5,0,6,0,5,13,7,0,0.263,0.34,0.431,2013,BOS,0.771
LF,221,594,93,165,37,1,18,101,61,2,153,16,0,9,0,5,12,2,2,0.278,0.356,0.434,2013,BOS,0.79
CF,172,689,109,201,37,8,13,65,53,3,120,8,3,2,4,9,13,56,4,0.292,0.348,0.425,2013,BOS,0.7729999999999999
RF,191,659,109,188,35,2,20,86,50,0,118,19,11,6,0,9,9,19,3,0.285,0.35,0.436,2013,BOS,0.786
DH,174,577,94,179,43,2,32,108,85,28,101,3,0,5,0,6,26,4,0,0.31,0.399,0.558,2013,BOS,0.9570000000000001
C,175,574,50,132,29,1,11,65,44,4,134,4,6,9,0,7,15,0,1,0.23,0.285,0.341,2014,BOS,0.626
1B,184,587,69,130,28,1,16,65,96,3,177,9,0,5,0,10,17,5,2,0.221,0.337,0.354,2014,BOS,0.6910000000000001
2B,176,671,94,184,41,0,9,65,64,1,101,2,0,7,0,8,15,11,7,0.274,0.336,0.376,2014,BOS,0.712
3B,182,607,65,128,27,1,10,54,42,1,167,10,2,4,0,4,17,6,2,0.211,0.271,0.308,2014,BOS,0.579
SS,169,604,67,151,31,4,11,49,54,3,155,7,5,6,0,8,11,6,5,0.25,0.316,0.369,2014,BOS,0.685
LF,199,619,65,165,30,5,9,77,46,0,155,12,0,8,0,5,16,5,3,0.267,0.326,0.375,2014,BOS,0.7010000000000001
CF,179,573,74,124,26,3,8,44,57,1,153,6,2,2,0,4,12,18,0,0.216,0.293,0.314,2014,BOS,0.607
RF,200,628,70,164,35,5,9,57,44,1,139,11,4,6,0,10,14,10,4,0.261,0.318,0.376,2014,BOS,0.694
DH,164,583,67,154,31,0,38,114,76,20,113,5,0,5,0,3,20,1,0,0.264,0.351,0.513,2014,BOS,0.864
C,173,566,82,141,26,1,7,50,45,1,142,6,9,1,1,9,18,4,3,0.249,0.311,0.336,2015,BOS,0.647
1B,181,606,72,137,29,0,29,82,69,5,177,6,0,3,0,12,14,2,2,0.226,0.31,0.417,2015,BOS,0.727
2B,186,656,79,188,25,5,14,71,59,2,115,3,5,8,0,5,8,5,3,0.287,0.344,0.404,2015,BOS,0.748
3B,186,630,69,161,37,2,13,62,44,1,107,7,1,2,0,7,15,5,0,0.256,0.31,0.383,2015,BOS,0.6930000000000001
SS,174,646,90,205,36,3,8,87,33,1,109,4,4,3,0,8,17,10,2,0.317,0.353,0.42,2015,BOS,0.7729999999999999
LF,199,626,92,165,30,4,20,76,46,2,111,5,2,5,0,12,13,9,7,0.264,0.317,0.42,2015,BOS,0.737
CF,169,659,99,183,41,9,22,96,54,1,104,5,3,8,0,13,3,20,5,0.278,0.333,0.467,2015,BOS,0.8
RF,192,586,76,145,28,8,11,64,47,0,137,7,4,2,0,7,20,11,2,0.247,0.31,0.379,2015,BOS,0.6890000000000001
DH,178,576,75,151,38,1,37,111,77,15,113,1,0,10,0,8,17,0,1,0.262,0.345,0.524,2015,BOS,0.869
C,183,563,66,141,29,3,8,60,45,2,144,5,4,3,0,7,13,0,1,0.25,0.31,0.355,2016,BOS,0.665
1B,184,622,83,167,34,0,29,112,67,7,142,7,0,5,0,10,17,9,4,0.268,0.344,0.463,2016,BOS,0.8069999999999999
2B,190,680,114,217,40,1,15,77,66,1,78,0,2,3,0,9,26,9,4,0.319,0.378,0.447,2016,BOS,0.825
3B,205,587,75,142,32,2,15,68,52,2,145,3,0,2,1,6,13,6,0,0.242,0.306,0.38,2016,BOS,0.6859999999999999
SS,172,675,116,195,34,1,21,90,58,0,130,6,0,4,0,6,14,13,4,0.289,0.349,0.436,2016,BOS,0.7849999999999999
LF,196,568,88,152,38,4,14,70,54,0,136,6,2,2,0,9,6,8,4,0.268,0.337,0.423,2016,BOS,0.76
CF,165,582,99,158,33,7,28,92,68,5,149,10,0,6,0,3,10,9,2,0.271,0.354,0.497,2016,BOS,0.851
RF,169,693,123,218,43,5,31,113,52,1,87,2,0,7,0,7,13,26,5,0.315,0.361,0.525,2016,BOS,0.886
DH,175,583,92,189,52,2,44,144,81,15,96,3,0,7,0,3,24,2,0,0.324,0.405,0.647,2016,BOS,1.052
C,183,589,73,152,31,2,12,71,43,1,137,4,1,4,0,5,19,7,2,0.258,0.311,0.379,2017,BOS,0.69
1B,185,622,88,149,44,0,25,80,68,6,148,6,0,5,0,6,19,2,1,0.24,0.318,0.431,2017,BOS,0.749
2B,200,644,77,184,35,2,12,86,64,4,105,8,2,4,0,9,12,10,5,0.286,0.356,0.402,2017,BOS,0.758
3B,193,595,77,148,25,0,17,75,45,3,159,1,3,4,0,15,18,10,3,0.249,0.301,0.376,2017,BOS,0.677
SS,168,641,105,171,33,7,11,67,61,6,138,5,1,2,0,13,18,16,1,0.267,0.334,0.392,2017,BOS,0.726
LF,178,623,90,156,26,2,19,83,74,5,133,6,1,7,0,6,16,18,6,0.25,0.332,0.39,2017,BOS,0.722
CF,167,600,75,158,28,3,19,79,65,6,146,11,0,4,0,10,11,13,5,0.263,0.344,0.415,2017,BOS,0.7589999999999999
RF,167,669,107,178,50,3,26,110,80,9,87,2,0,5,0,6,11,27,3,0.266,0.344,0.466,2017,BOS,0.81
DH,175,581,71,142,26,0,25,70,62,7,137,7,0,1,0,5,15,3,4,0.244,0.324,0.418,2017,BOS,0.742
C,192,573,63,111,24,0,10,43,32,1,133,8,4,2,0,9,13,7,1,0.194,0.246,0.288,2018,BOS,0.534
1B,192,619,87,165,36,5,23,109,68,2,144,6,0,6,0,6,19,5,1,0.267,0.342,0.452,2018,BOS,0.794
2B,181,618,71,156,32,2,8,61,48,2,109,3,1,3,0,8,21,17,11,0.252,0.308,0.35,2018,BOS,0.6579999999999999
3B,176,636,78,157,30,1,26,85,40,6,146,1,0,3,0,11,15,8,3,0.247,0.291,0.42,2018,BOS,0.711
SS,182,627,89,180,53,4,26,118,64,4,128,7,0,6,0,13,15,8,2,0.287,0.357,0.509,2018,BOS,0.866
LF,184,653,119,196,47,3,21,102,79,2,133,1,2,6,0,12,12,19,2,0.3,0.373,0.478,2018,BOS,0.851
CF,179,587,109,158,49,7,20,78,62,5,147,9,0,4,0,4,7,22,2,0.269,0.346,0.479,2018,BOS,0.825
RF,188,638,138,210,44,6,38,107,89,9,123,15,0,10,0,8,8,31,8,0.329,0.418,0.596,2018,BOS,1.014
DH,166,569,97,154,33,2,34,104,76,7,154,4,0,7,0,8,19,6,1,0.271,0.357,0.515,2018,BOS,0.872
C,197,598,70,155,26,1,26,86,41,2,132,2,7,3,0,6,14,5,2,0.259,0.307,0.436,2019,BOS,0.743
1B,205,616,78,150,30,2,29,99,50,3,185,5,0,2,1,9,23,2,0,0.244,0.305,0.44,2019,BOS,0.745
2B,210,606,75,151,20,2,14,71,42,0,164,6,1,2,0,9,14,7,4,0.249,0.303,0.358,2019,BOS,0.661
3B,174,688,134,212,57,4,32,119,48,7,128,4,1,3,0,11,10,8,8,0.308,0.355,0.542,2019,BOS,0.897
SS,177,648,115,201,56,0,35,121,79,2,128,3,0,7,0,10,11,4,3,0.31,0.384,0.559,2019,BOS,0.9430000000000001
LF,180,663,87,169,37,7,21,93,66,1,173,6,3,5,0,7,11,10,3,0.255,0.326,0.427,2019,BOS,0.753
CF,176,581,87,138,36,3,25,74,66,3,167,15,3,5,0,8,8,11,6,0.238,0.328,0.439,2019,BOS,0.767
RF,173,650,143,191,42,4,35,95,110,8,121,3,0,9,0,5,13,14,2,0.294,0.394,0.532,2019,BOS,0.926
DH,169,598,87,152,32,3,23,76,71,8,149,3,1,6,1,12,19,3,0,0.254,0.333,0.433,2019,BOS,0.766
C,190,584,62,157,28,2,8,59,43,0,110,4,2,4,0,7,17,8,4,0.269,0.321,0.365,2021,BOS,0.6859999999999999
1B,196,570,71,136,27,6,30,97,41,1,203,6,1,1,0,4,4,4,1,0.239,0.296,0.465,2021,BOS,0.761
2B,202,589,85,152,46,5,19,68,43,0,159,19,2,4,0,3,8,2,2,0.258,0.327,0.45,2021,BOS,0.777
3B,175,618,106,175,40,1,41,118,66,7,148,9,0,4,0,6,14,6,5,0.283,0.359,0.55,2021,BOS,0.909
SS,180,596,100,167,35,1,23,84,76,2,133,6,2,6,0,10,14,6,1,0.28,0.364,0.458,2021,BOS,0.8220000000000001
LF,189,618,91,155,34,2,14,64,57,7,155,1,1,1,0,6,11,4,1,0.251,0.315,0.38,2021,BOS,0.6950000000000001
CF,184,638,93,146,30,4,20,70,57,2,144,7,0,8,0,8,4,8,2,0.229,0.296,0.382,2021,BOS,0.6779999999999999
RF,174,606,102,158,39,0,32,106,52,0,151,4,0,7,0,6,10,2,4,0.261,0.32,0.483,2021,BOS,0.8029999999999999
DH,159,574,94,169,47,2,31,105,63,3,137,4,1,6,1,7,17,0,0,0.294,0.365,0.545,2021,BOS,0.91
C,188,560,63,145,36,1,10,65,40,0,111,7,3,6,1,3,15,2,2,0.259,0.313,0.38,2022,BOS,0.6930000000000001
1B,205,557,74,124,26,1,20,67,61,2,183,5,2,6,0,10,12,6,1,0.223,0.302,0.381,2022,BOS,0.683
2B,179,605,79,156,36,1,18,97,48,5,177,4,3,5,0,9,15,16,4,0.258,0.314,0.41,2022,BOS,0.724
3B,179,633,88,181,46,2,30,100,57,11,140,6,0,4,0,7,14,3,1,0.286,0.349,0.507,2022,BOS,0.856
SS,184,614,88,184,41,0,16,79,63,2,132,11,1,8,0,4,17,9,2,0.3,0.371,0.445,2022,BOS,0.8160000000000001
LF,175,655,81,171,35,1,15,88,39,2,127,7,0,5,0,5,17,4,2,0.261,0.307,0.386,2022,BOS,0.6930000000000001
CF,188,614,80,143,41,4,12,68,51,0,140,10,0,5,0,6,12,7,3,0.233,0.3,0.371,2022,BOS,0.671
RF,205,598,76,139,42,1,12,62,48,0,149,7,3,5,0,9,7,5,5,0.232,0.295,0.366,2022,BOS,0.661
DH,177,624,88,165,46,1,19,69,59,1,176,6,0,5,1,5,21,0,0,0.264,0.331,0.433,2022,BOS,0.764
C,193,550,67,134,36,3,10,52,36,0,188,8,5,2,3,6,6,9,3,0.244,0.299,0.375,2023,BOS,0.6739999999999999
1B,185,588,96,156,33,2,31,87,76,2,162,5,0,2,0,4,8,1,1,0.265,0.353,0.486,2023,BOS,0.839
2B,214,566,69,136,35,0,14,72,32,0,132,6,2,4,2,6,17,9,4,0.24,0.286,0.376,2023,BOS,0.6619999999999999
3B,177,623,95,163,36,0,32,102,67,9,137,12,0,3,0,6,16,6,1,0.262,0.343,0.474,2023,BOS,0.817
SS,189,576,72,131,23,0,16,74,42,0,156,5,3,4,0,10,18,18,5,0.227,0.284,0.351,2023,BOS,0.635
LF,200,640,87,188,40,4,17,96,51,0,109,7,1,3,0,7,19,17,3,0.294,0.351,0.448,2023,BOS,0.7989999999999999
CF,205,614,83,169,51,3,26,95,46,1,169,8,0,4,2,5,3,25,2,0.275,0.332,0.495,2023,BOS,0.827
RF,184,653,97,164,43,6,16,68,56,1,141,9,0,7,0,6,13,11,3,0.251,0.316,0.409,2023,BOS,0.725
DH,186,621,82,167,33,1,18,77,65,0,139,10,0,5,0,8,16,9,1,0.269,0.345,0.412,2023,BOS,0.7569999999999999
C,183,581,68,151,22,1,18,69,52,1,145,10,2,5,0,6,11,8,7,0.26,0.329,0.394,2024,BOS,0.7230000000000001
1B,210,571,67,136,41,0,20,75,59,3,182,8,1,0,0,6,16,6,2,0.238,0.318,0.415,2024,BOS,0.733
2B,234,570,65,114,20,0,9,53,38,0,159,3,1,8,1,9,8,19,5,0.2,0.25,0.282,2024,BOS,0.532
3B,184,613,92,150,33,6,27,92,74,14,179,3,0,8,0,3,16,5,1,0.245,0.325,0.45,2024,BOS,0.775
SS,204,586,70,158,40,4,18,71,35,3,164,6,1,1,0,9,8,39,10,0.27,0.317,0.444,2024,BOS,0.761
LF,209,650,94,170,31,7,23,77,59,2,201,9,1,2,0,7,14,23,3,0.262,0.331,0.437,2024,BOS,0.768
CF,194,641,103,167,40,10,14,71,40,0,164,7,1,3,0,15,6,27,10,0.261,0.31,0.42,2024,BOS,0.73
RF,222,587,95,162,44,2,35,98,66,2,175,6,0,7,1,3,11,11,5,0.276,0.351,0.537,2024,BOS,0.888
DH,182,618,72,160,29,0,23,85,45,2,135,16,0,3,0,4,16,3,0,0.259,0.324,0.417,2024,BOS,0.741
C,175,603,65,165,33,0,18,79,30,2,72,7,9,3,0,1,20,5,4,0.274,0.314,0.418,2010,CHA,0.732
1B,173,608,92,183,34,2,38,112,70,8,113,4,0,5,0,8,10,0,1,0.301,0.374,0.551,2010,CHA,0.925
2B,173,580,65,140,27,3,11,62,43,0,129,7,8,4,0,8,12,5,9,0.241,0.3,0.355,2010,CHA,0.655
3B,197,575,73,153,29,1,11,57,58,2,105,2,7,4,0,5,20,17,9,0.266,0.333,0.377,2010,CHA,0.71
SS,171,615,85,171,29,3,18,71,28,2,84,2,7,7,0,11,13,13,8,0.278,0.308,0.423,2010,CHA,0.731
LF,163,653,97,174,19,3,7,58,51,0,53,21,14,2,0,8,13,62,18,0.266,0.338,0.337,2010,CHA,0.675
CF,175,626,100,177,33,3,24,93,44,4,107,9,1,5,0,6,22,38,13,0.283,0.336,0.46,2010,CHA,0.796
RF,191,575,87,146,31,2,29,97,71,2,128,18,0,5,0,6,21,5,3,0.254,0.351,0.466,2010,CHA,0.817
